longitude,latitude,housing_median_age,total_bedrooms,population,median_income,Ocean,Inland,Island,Near_Bay,Near_Ocean,city
-118.38,34.06,52.0,217.0,578.0,7.6771,1,0,0,0,0,13
-117.97,33.84,34.0,153.0,549.0,4.8667,1,0,0,0,0,15
-122.32,37.96,25.0,403.0,934.0,3.375,0,0,0,1,0,167
-117.99,33.83,25.0,835.0,1749.0,3.2539,1,0,0,0,0,186
-122.58,38.15,9.0,177.0,682.0,7.5,1,0,0,0,0,117
-118.44,34.05,15.0,1312.0,2269.0,5.7097,1,0,0,0,0,13
-121.57,39.76,20.0,257.0,557.0,2.0882,0,1,0,0,0,25
-117.7,35.64,8.0,416.0,1154.0,5.8625,0,1,0,0,0,146
-122.24,40.17,51.0,584.0,1083.0,1.577,0,1,0,0,0,140
-122.28,37.81,35.0,184.0,467.0,1.8088,0,0,0,1,0,118
-121.3,38.51,19.0,134.0,457.0,4.15,0,1,0,0,0,151
-121.91,37.42,19.0,387.0,1224.0,4.1389,1,0,0,0,0,101
-117.24,32.85,22.0,448.0,1252.0,10.0707,0,0,0,0,1,157
-120.49,37.3,35.0,324.0,1350.0,1.75,0,1,0,0,0,100
-122.42,37.78,52.0,425.0,634.0,2.4414,0,0,0,1,0,159
-118.01,33.81,18.0,1083.0,3032.0,4.4583,1,0,0,0,0,186
-117.68,35.65,15.0,576.0,1245.0,3.3269,0,1,0,0,0,146
-121.47,38.68,19.0,182.0,474.0,5.0155,0,1,0,0,0,151
-117.81,33.66,20.0,490.0,1192.0,5.8752,1,0,0,0,0,75
-116.5,33.81,26.0,1229.0,3086.0,2.5399,0,1,0,0,0,22
-117.38,34.08,11.0,1139.0,3095.0,3.6875,0,1,0,0,0,144
-117.98,33.67,7.0,1174.0,2493.0,5.8252,1,0,0,0,0,70
-118.17,34.14,45.0,285.0,759.0,11.7894,1,0,0,0,0,128
-116.94,32.78,17.0,2656.0,6990.0,3.434,1,0,0,0,0,45
-118.25,34.23,41.0,496.0,1157.0,4.4083,1,0,0,0,0,16
-117.43,34.1,34.0,265.0,834.0,3.7011,0,1,0,0,0,53
-121.87,37.41,17.0,588.0,2089.0,6.7867,1,0,0,0,0,101
-117.72,33.43,5.0,359.0,616.0,3.8992,1,0,0,0,0,41
-118.2,33.87,26.0,202.0,757.0,2.525,1,0,0,0,0,31
-118.23,33.92,32.0,430.0,1699.0,1.1793,1,0,0,0,0,92
-117.14,32.7,47.0,161.0,593.0,0.9589,0,0,0,0,1,157
-121.49,38.5,32.0,439.0,1331.0,3.319,0,1,0,0,0,151
-118.28,33.97,34.0,802.0,2782.0,1.6652,1,0,0,0,0,71
-119.78,36.84,7.0,1075.0,2014.0,3.2147,0,1,0,0,0,29
-122.58,37.98,52.0,216.0,467.0,4.9615,0,0,0,1,0,168
-117.24,32.83,18.0,501.0,949.0,7.4351,0,0,0,0,1,157
-119.34,35.59,33.0,654.0,1809.0,2.3934,0,1,0,0,0,6
-117.99,33.89,21.0,1020.0,2539.0,4.5033,1,0,0,0,0,15
-118.04,33.98,28.0,507.0,1158.0,1.9688,1,0,0,0,0,211
-120.07,36.96,34.0,239.0,557.0,3.6181,0,1,0,0,0,93
-118.39,33.85,24.0,871.0,1830.0,5.7128,1,0,0,0,0,142
-117.94,33.84,25.0,831.0,2166.0,3.1884,1,0,0,0,0,2
-122.1,37.9,38.0,144.0,368.0,6.5095,0,0,0,1,0,205
-119.73,34.43,35.0,654.0,1383.0,4.5278,0,0,0,0,1,171
-118.3,34.03,47.0,559.0,1775.0,2.1571,1,0,0,0,0,91
-118.03,34.05,36.0,317.0,1557.0,2.7955,1,0,0,0,0,47
-118.0,33.86,32.0,196.0,563.0,3.875,1,0,0,0,0,15
-119.22,34.27,30.0,295.0,695.0,5.0679,0,0,0,0,1,200
-117.9,33.74,24.0,955.0,5516.0,2.7535,1,0,0,0,0,170
-121.97,38.34,16.0,450.0,1074.0,4.0329,0,1,0,0,0,198
-118.01,33.71,18.0,1357.0,3079.0,4.7515,1,0,0,0,0,210
-119.66,36.33,10.0,409.0,988.0,1.4194,0,1,0,0,0,64
-117.35,34.5,10.0,392.0,1174.0,3.375,0,1,0,0,0,201
-120.75,37.37,32.0,317.0,1037.0,2.4964,0,1,0,0,0,194
-118.27,33.78,21.0,1174.0,4426.0,2.5262,1,0,0,0,0,21
-118.62,34.26,15.0,1653.0,4178.0,6.3249,1,0,0,0,0,183
-117.15,32.7,50.0,172.0,483.0,1.3657,0,0,0,0,1,157
-119.31,36.62,33.0,374.0,1544.0,1.7292,0,1,0,0,0,202
-117.44,33.96,29.0,22.0,50.0,12.5381,0,1,0,0,0,147
-117.57,33.87,33.0,517.0,1374.0,2.2197,0,1,0,0,0,33
-118.33,33.84,36.0,251.0,668.0,5.3131,1,0,0,0,0,191
-120.09,39.92,19.0,518.0,1028.0,1.7267,0,1,0,0,0,25
-117.99,33.81,42.0,40.0,157.0,2.2,1,0,0,0,0,186
-121.66,36.71,27.0,886.0,2002.0,3.2929,1,0,0,0,0,152
-119.21,36.1,30.0,373.0,1418.0,1.7432,0,1,0,0,0,193
-118.35,33.88,25.0,362.0,1150.0,3.35,1,0,0,0,0,84
-121.16,41.78,42.0,576.0,1182.0,2.1434,0,1,0,0,0,140
-121.87,37.3,14.0,124.0,134.0,2.7411,1,0,0,0,0,161
-117.95,33.98,15.0,2602.0,7732.0,5.6716,1,0,0,0,0,79
-122.33,37.58,27.0,1481.0,2518.0,3.4836,0,0,0,0,1,166
-120.0,38.87,12.0,268.0,395.0,4.225,0,1,0,0,0,52
-117.6,33.45,4.0,566.0,996.0,5.4031,0,0,0,0,1,156
-117.13,32.81,19.0,554.0,1349.0,2.7652,0,0,0,0,1,157
-117.1,32.83,16.0,154.0,467.0,6.2047,1,0,0,0,0,77
-120.2,37.84,9.0,2453.0,2811.0,3.2589,0,1,0,0,0,100
-118.3,33.76,6.0,1270.0,2678.0,5.1269,1,0,0,0,0,21
-122.29,37.88,52.0,395.0,841.0,3.556,0,0,0,1,0,12
-122.23,39.53,8.0,336.0,1237.0,1.3708,0,1,0,0,0,25
-118.33,33.96,42.0,361.0,737.0,2.3,1,0,0,0,0,74
-118.31,34.02,46.0,469.0,1409.0,2.2981,1,0,0,0,0,91
-117.59,33.44,3.0,1264.0,2363.0,4.3897,0,0,0,0,1,156
-119.29,34.3,24.0,1705.0,4647.0,3.5385,0,0,0,0,1,200
-122.44,37.72,48.0,585.0,1773.0,3.9565,0,0,0,1,0,40
-118.99,35.4,43.0,392.0,890.0,4.0208,0,1,0,0,0,6
-119.85,36.82,9.0,778.0,1691.0,3.3239,0,1,0,0,0,57
-118.41,34.25,36.0,259.0,1173.0,3.6016,1,0,0,0,0,16
-121.32,38.62,29.0,448.0,1087.0,3.0864,0,1,0,0,0,52
-119.21,34.12,15.0,1285.0,1722.0,4.3427,0,0,0,0,1,122
-122.23,37.83,52.0,379.0,947.0,7.8772,0,0,0,1,0,118
-118.32,34.09,32.0,191.0,626.0,2.0341,1,0,0,0,0,208
-117.31,33.07,21.0,534.0,948.0,3.2984,0,0,0,0,1,48
-121.65,37.11,14.0,914.0,2915.0,5.9356,1,0,0,0,0,61
-121.9,37.3,52.0,284.0,629.0,5.6437,1,0,0,0,0,161
-117.18,34.54,5.0,619.0,2097.0,3.8194,0,1,0,0,0,201
-122.27,37.54,15.0,310.0,905.0,8.9083,0,0,0,1,0,54
-118.22,33.81,41.0,166.0,602.0,3.7885,0,0,0,0,1,89
-117.08,34.08,34.0,11.0,39.0,3.0625,0,1,0,0,0,215
-121.64,36.66,24.0,506.0,1466.0,5.2285,1,0,0,0,0,152
-119.22,34.28,33.0,377.0,1052.0,4.7333,0,0,0,0,1,200
-122.06,37.33,23.0,751.0,2167.0,7.0102,1,0,0,0,0,38
-119.77,34.43,22.0,443.0,1066.0,5.1271,0,0,0,0,1,171
-118.18,33.98,38.0,374.0,1514.0,2.5703,1,0,0,0,0,8
-120.17,39.32,14.0,489.0,1000.0,3.5652,0,1,0,0,0,52
-117.27,33.02,21.0,340.0,928.0,5.798,0,0,0,0,1,48
-118.39,34.01,25.0,285.0,543.0,2.3571,1,0,0,0,0,37
-121.3,37.97,52.0,417.0,766.0,2.2981,0,1,0,0,0,187
-118.05,33.72,14.0,687.0,1192.0,4.1862,1,0,0,0,0,181
-120.07,36.97,27.0,240.0,587.0,1.6071,0,1,0,0,0,93
-118.0,33.92,26.0,399.0,1204.0,6.1273,1,0,0,0,0,78
-122.05,37.54,25.0,731.0,2568.0,5.2882,0,0,0,1,0,114
-117.85,33.86,18.0,72.0,209.0,4.6806,1,0,0,0,0,132
-117.08,32.69,31.0,487.0,1938.0,3.4875,0,0,0,0,1,113
-120.69,35.34,16.0,30.0,542.0,1.6563,0,0,0,0,1,164
-117.88,33.7,24.0,88.0,249.0,5.3254,1,0,0,0,0,170
-122.52,37.91,30.0,739.0,1818.0,5.5951,0,0,0,1,0,168
-118.37,34.21,36.0,455.0,1939.0,4.2875,1,0,0,0,0,16
-118.54,34.28,18.0,780.0,2477.0,6.7248,1,0,0,0,0,173
-121.31,38.68,16.0,1271.0,2181.0,2.1009,0,1,0,0,0,150
-117.98,33.77,7.0,570.0,1576.0,3.6333,1,0,0,0,0,210
-121.99,37.3,28.0,901.0,2110.0,5.1483,1,0,0,0,0,39
-121.92,37.3,35.0,296.0,635.0,3.6053,1,0,0,0,0,19
-123.2,39.15,27.0,238.0,592.0,2.0074,1,0,0,0,0,178
-122.51,38.76,9.0,482.0,1050.0,4.0435,0,1,0,0,0,178
-122.13,38.01,51.0,309.0,608.0,2.1974,0,0,0,1,0,97
-118.26,34.11,47.0,510.0,1445.0,3.6667,1,0,0,0,0,62
-117.98,33.87,25.0,515.0,1435.0,3.3199,1,0,0,0,0,15
-117.09,32.69,18.0,430.0,1221.0,1.3269,0,0,0,0,1,113
-121.95,37.74,19.0,837.0,2653.0,6.2631,1,0,0,0,0,169
-117.98,33.94,36.0,717.0,2038.0,5.2851,1,0,0,0,0,76
-124.07,40.87,47.0,326.0,796.0,2.2138,0,0,0,0,1,50
-121.84,37.27,17.0,482.0,1904.0,5.0186,1,0,0,0,0,161
-122.23,39.95,21.0,382.0,888.0,2.207,0,1,0,0,0,25
-117.81,33.89,13.0,583.0,1546.0,5.8243,1,0,0,0,0,213
-122.53,37.95,22.0,1979.0,2980.0,3.5838,0,0,0,1,0,168
-122.32,37.93,40.0,489.0,1103.0,5.1067,0,0,0,1,0,145
-121.34,38.62,20.0,864.0,1658.0,2.4537,0,1,0,0,0,151
-121.41,38.53,35.0,371.0,1110.0,3.1944,0,1,0,0,0,151
-122.17,37.75,47.0,211.0,597.0,3.1587,0,0,0,1,0,163
-121.63,36.65,44.0,121.0,315.0,1.6071,1,0,0,0,0,152
-121.0,37.61,36.0,604.0,2045.0,2.273,0,1,0,0,0,103
-121.84,39.73,52.0,232.0,520.0,0.987,0,1,0,0,0,25
-122.01,39.21,50.0,372.0,781.0,2.2679,0,1,0,0,0,214
-118.19,33.87,42.0,269.0,628.0,3.6987,1,0,0,0,0,127
-120.99,38.67,8.0,744.0,2005.0,5.4413,0,1,0,0,0,52
-122.07,37.39,37.0,239.0,589.0,5.0131,0,0,0,1,0,111
-118.25,34.01,45.0,270.0,1030.0,1.0898,1,0,0,0,0,71
-121.17,37.97,28.0,248.0,769.0,3.6389,0,1,0,0,0,187
-118.31,33.73,52.0,280.0,656.0,5.249,0,0,0,0,1,139
-117.5,34.04,4.0,649.0,2158.0,5.0175,0,1,0,0,0,53
-117.16,32.75,49.0,494.0,643.0,1.9637,0,0,0,0,1,157
-118.63,34.17,33.0,787.0,2019.0,5.5798,1,0,0,0,0,183
-118.42,34.24,17.0,548.0,2243.0,2.525,1,0,0,0,0,16
-117.75,34.07,52.0,213.0,444.0,5.2269,0,1,0,0,0,135
-117.18,34.04,38.0,381.0,1003.0,3.6875,0,1,0,0,0,141
-121.52,39.48,21.0,494.0,1364.0,2.0455,0,1,0,0,0,214
-121.98,37.23,33.0,935.0,1511.0,3.1176,1,0,0,0,0,180
-117.09,32.65,20.0,323.0,573.0,2.619,0,0,0,0,1,27
-121.47,38.57,52.0,103.0,176.0,3.0217,0,1,0,0,0,151
-118.23,33.91,34.0,276.0,1215.0,2.0804,1,0,0,0,0,31
-118.25,34.15,13.0,479.0,616.0,0.8185,1,0,0,0,0,62
-117.28,33.22,13.0,542.0,1065.0,2.3844,1,0,0,0,0,203
-122.44,37.79,52.0,384.0,614.0,3.6812,0,0,0,1,0,159
-117.89,34.07,35.0,137.0,392.0,4.5179,1,0,0,0,0,36
-124.14,40.79,38.0,290.0,873.0,2.4896,0,0,0,0,1,50
-119.04,35.36,40.0,312.0,771.0,3.0435,0,1,0,0,0,6
-117.02,32.69,7.0,1004.0,3031.0,4.436,0,0,0,0,1,85
-118.28,34.05,31.0,730.0,2510.0,1.6355,1,0,0,0,0,91
-118.28,33.95,40.0,538.0,2150.0,2.1437,1,0,0,0,0,71
-117.2,33.38,14.0,821.0,2350.0,5.0507,1,0,0,0,0,189
-121.86,37.22,18.0,1029.0,2893.0,6.9508,1,0,0,0,0,19
-118.43,34.05,52.0,290.0,727.0,6.7115,1,0,0,0,0,13
-119.06,34.24,21.0,984.0,2982.0,7.6775,1,0,0,0,0,18
-121.05,38.97,12.0,550.0,1572.0,4.8214,0,1,0,0,0,150
-117.3,34.53,38.0,489.0,1196.0,1.2275,0,1,0,0,0,201
-117.86,33.75,31.0,515.0,1810.0,1.9309,1,0,0,0,0,170
-117.34,33.23,11.0,757.0,2212.0,3.1062,0,0,0,0,1,119
-122.46,37.74,52.0,281.0,791.0,10.959,0,0,0,1,0,159
-118.27,33.96,42.0,203.0,697.0,2.037,1,0,0,0,0,71
-118.21,33.95,32.0,328.0,1265.0,2.295,1,0,0,0,0,184
-118.31,33.99,44.0,358.0,789.0,1.7083,1,0,0,0,0,74
-118.26,33.96,37.0,383.0,1243.0,1.3971,1,0,0,0,0,71
-117.86,33.61,15.0,482.0,930.0,8.6001,1,0,0,0,0,35
-118.0,34.14,31.0,431.0,1131.0,1.0548,0,1,0,0,0,104
-121.64,36.7,32.0,735.0,2927.0,4.1675,1,0,0,0,0,152
-119.78,36.8,34.0,623.0,1938.0,2.8994,0,1,0,0,0,57
-118.14,34.17,52.0,600.0,1716.0,2.7201,1,0,0,0,0,128
-119.72,34.43,27.0,299.0,777.0,2.5694,1,0,0,0,0,171
-118.47,34.23,22.0,2717.0,9135.0,2.5008,1,0,0,0,0,16
-118.3,33.97,46.0,317.0,1140.0,3.375,1,0,0,0,0,74
-118.12,33.91,36.0,265.0,749.0,3.5772,1,0,0,0,0,10
